"","E","N","group","country","long","lat"
"41",5781,2268,1,2,27.7317034162945,41.9601373878408
"42",5775,2266,1,2,27.6558275960117,41.9552696707018
"43",5769,2262,1,2,27.5747903444208,41.9328263741508
"44",5766,2259,1,2,27.5317159154173,41.9128186863554
"45",5760,2261,1,2,27.4662080286488,41.9428434847984
"46",5749,2267,1,2,27.3519301101563,42.0182314437393
"47",5742,2272,1,2,27.2820927025376,42.076499554765
"48",5738,2273,1,2,27.2373944602569,42.0934919832379
"49",5734,2270,1,2,27.1825033723198,42.0753886898951
"50",5720,2264,1,2,27.0019620274833,42.0512660294049
"51",5717,2260,1,2,26.9564969441422,42.0222309682744
"52",5711,2255,1,2,26.8731727264678,41.9904310515401
"53",5705,2251,1,2,26.7924187202041,41.9673394261788
"54",5695,2248,1,2,26.6669806994338,41.9609185403259
"55",5690,2247,1,2,26.6054992265759,41.9620422175857
"56",5688,2244,1,2,26.5745539086286,41.9396294460904
"57",5686,2238,1,2,26.5363296176459,41.8908336446823
"58",5686,2233,1,2,26.5241753501275,41.8468769751883
"59",5685,2230,1,2,26.5051114668165,41.8224677116836
"60",5673,2225,1,2,26.3516538868234,41.801975817231
"61",5671,2221,1,2,26.3185052702402,41.7706754958771
"62",5671,2218,1,2,26.3113291834883,41.7442789414102
"63",5672,2215,1,2,26.3159296894017,41.7159384650396
